type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2022-03-22 12:44:10,12.84214905,77.66055072,4,861.292,,0.000,,32,47,20220322-181410,GPS Logger: 20220322-181410 - rawData2
T,2022-03-22 12:44:11,12.84214390,77.66055099,4,860.804,,0.580,12,32,47,,
T,2022-03-22 12:44:12,12.84213526,77.66055042,4,861.061,,0.960,12,32,47,,
T,2022-03-22 12:44:13,12.84212441,77.66054900,4,861.027,,1.160,191,32,47,,
T,2022-03-22 12:44:14,12.84211487,77.66054723,4,860.879,,0.730,12,32,47,,
T,2022-03-22 12:44:15,12.84210631,77.66054444,4,861.353,,0.950,209,30,46,,
T,2022-03-22 12:44:16,12.84209665,77.66053990,4,861.163,,0.960,209,30,46,,
T,2022-03-22 12:44:17,12.84208704,77.66053676,4,860.327,,0.870,208,31,46,,
T,2022-03-22 12:44:18,12.84207719,77.66053602,4,859.270,,0.860,208,30,47,,
T,2022-03-22 12:44:19,12.84206535,77.66053684,4,859.038,,1.210,182,30,47,,
T,2022-03-22 12:44:20,12.84205379,77.66053753,4,858.878,,0.970,182,30,47,,
T,2022-03-22 12:44:21,12.84204203,77.66053657,4,858.820,,1.220,191,30,47,,
T,2022-03-22 12:44:22,12.84202912,77.66053433,4,859.251,,1.300,191,30,47,,
T,2022-03-22 12:44:23,12.84201728,77.66053193,4,859.205,,1.130,192,30,47,,
T,2022-03-22 12:44:24,12.84200625,77.66052943,4,859.072,,1.070,191,30,47,,
T,2022-03-22 12:44:25,12.84199575,77.66052699,4,858.655,,0.960,195,30,47,,
T,2022-03-22 12:44:26,12.84198513,77.66052599,4,858.606,,1.000,187,30,47,,
T,2022-03-22 12:44:27,12.84197398,77.66052428,4,858.900,,1.210,189,30,47,,
T,2022-03-22 12:44:28,12.84196261,77.66052121,4,858.690,,1.220,193,30,47,,
T,2022-03-22 12:44:29,12.84195222,77.66051825,4,858.625,,1.090,197,30,47,,
T,2022-03-22 12:44:30,12.84194531,77.66051532,4,857.709,,0.450,200,30,47,,
T,2022-03-22 12:44:31,12.84193853,77.66051280,4,857.619,,0.900,200,30,47,,
T,2022-03-22 12:44:32,12.84193002,77.66051074,4,857.766,,0.810,200,30,47,,
T,2022-03-22 12:44:33,12.84192132,77.66051007,4,858.405,,0.940,200,30,47,,
T,2022-03-22 12:44:34,12.84191230,77.66050976,4,858.668,,0.890,200,30,47,,
T,2022-03-22 12:44:35,12.84190197,77.66050864,4,858.760,,1.260,195,30,47,,
T,2022-03-22 12:44:36,12.84189200,77.66050569,4,857.994,,0.930,206,31,47,,
T,2022-03-22 12:44:37,12.84188097,77.66050283,4,858.280,,1.430,196,32,47,,
T,2022-03-22 12:44:38,12.84186986,77.66049964,4,858.040,,1.050,196,31,47,,
T,2022-03-22 12:44:39,12.84186013,77.66049791,4,857.512,,0.930,196,31,47,,
T,2022-03-22 12:44:40,12.84185120,77.66049577,4,857.345,,0.980,208,31,47,,
T,2022-03-22 12:44:41,12.84184130,77.66049314,4,857.246,,1.150,200,31,47,,
T,2022-03-22 12:44:42,12.84183072,77.66049069,4,857.224,,1.120,207,30,47,,
T,2022-03-22 12:44:43,12.84181939,77.66048931,4,857.298,,1.270,207,32,47,,
T,2022-03-22 12:44:44,12.84180833,77.66048751,4,857.598,,1.150,200,32,47,,
T,2022-03-22 12:44:45,12.84179886,77.66048599,4,857.373,,0.960,189,32,47,,
T,2022-03-22 12:44:46,12.84178948,77.66048407,4,857.763,,1.010,198,32,47,,
T,2022-03-22 12:44:47,12.84178021,77.66048205,4,857.836,,0.870,199,32,47,,
T,2022-03-22 12:44:48,12.84177074,77.66047809,4,857.750,,0.940,199,32,47,,
