type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2022-03-22 12:34:29,12.84540087,77.66284435,4,848.159,,1.470,269,36,49,,
T,2022-03-22 12:34:30,12.84540025,77.66282872,4,848.438,,1.380,270,36,49,,
T,2022-03-22 12:34:31,12.84539970,77.66281553,4,848.202,,1.000,270,36,49,,
T,2022-03-22 12:34:32,12.84539940,77.66280413,4,848.043,,1.020,269,36,49,,
T,2022-03-22 12:34:33,12.84539966,77.66279227,4,848.293,,0.960,269,36,49,,
T,2022-03-22 12:34:34,12.84540057,77.66278107,4,848.356,,1.020,279,37,49,,
T,2022-03-22 12:34:35,12.84540150,77.66277071,4,848.609,,0.850,279,37,49,,
T,2022-03-22 12:34:36,12.84540176,77.66275976,4,848.893,,1.210,272,37,49,,
T,2022-03-22 12:34:37,12.84540104,77.66274855,4,849.102,,1.010,269,37,49,,
T,2022-03-22 12:34:38,12.84539990,77.66273897,4,849.306,,0.920,269,37,49,,
T,2022-03-22 12:34:39,12.84539889,77.66272827,4,850.011,,1.260,272,37,49,,
T,2022-03-22 12:34:40,12.84539876,77.66271846,4,849.404,,0.800,277,36,49,,
T,2022-03-22 12:34:41,12.84540040,77.66270740,4,849.557,,1.530,283,36,49,,
T,2022-03-22 12:34:42,12.84540107,77.66269481,4,849.818,,1.250,274,37,49,,
T,2022-03-22 12:34:43,12.84540197,77.66268174,4,849.490,,1.520,278,37,49,,
T,2022-03-22 12:34:44,12.84540214,77.66267110,4,849.146,,0.850,283,37,49,,
T,2022-03-22 12:34:45,12.84540244,77.66266200,4,849.249,,1.090,283,37,49,,
T,2022-03-22 12:34:46,12.84540262,77.66265161,4,849.388,,0.950,283,37,49,,
T,2022-03-22 12:34:47,12.84540249,77.66264379,4,849.097,,0.730,278,37,49,,
T,2022-03-22 12:34:48,12.84540304,77.66263628,4,849.673,,0.740,279,37,49,,
T,2022-03-22 12:34:49,12.84540349,77.66262984,4,850.225,,0.660,279,39,49,,
T,2022-03-22 12:34:50,12.84540371,77.66262531,4,851.013,,0.000,,39,49,,
T,2022-03-22 12:34:51,12.84540501,77.66261916,4,851.099,,0.760,301,39,49,,
T,2022-03-22 12:34:52,12.84540738,77.66261047,4,850.975,,0.910,301,39,49,,
T,2022-03-22 12:34:53,12.84541032,77.66260193,4,850.570,,0.890,301,40,48,,
T,2022-03-22 12:34:54,12.84541190,77.66259449,4,850.199,,0.720,301,40,49,,
T,2022-03-22 12:34:55,12.84541224,77.66258782,4,850.535,,0.640,301,39,49,,
T,2022-03-22 12:34:56,12.84541223,77.66257952,4,850.792,,0.970,275,39,49,,
T,2022-03-22 12:34:57,12.84541203,77.66257027,4,850.982,,0.750,275,38,49,,
T,2022-03-22 12:34:58,12.84540817,77.66256620,4,851.226,,0.000,,38,49,,
T,2022-03-22 12:34:59,12.84540647,77.66255883,4,851.976,,0.920,275,38,49,,
T,2022-03-22 12:35:00,12.84540402,77.66254984,4,853.750,,0.710,275,38,49,,
T,2022-03-22 12:35:01,12.84540447,77.66253985,4,853.744,,0.840,275,40,49,,
T,2022-03-22 12:35:02,12.84540652,77.66253213,4,853.681,,0.540,275,39,49,,
T,2022-03-22 12:35:03,12.84540940,77.66252851,4,853.604,,0.290,275,39,49,,
T,2022-03-22 12:35:04,12.84541124,77.66251992,4,853.312,,1.460,275,39,49,,
T,2022-03-22 12:35:05,12.84541165,77.66251026,4,853.428,,0.810,275,39,49,,
T,2022-03-22 12:35:06,12.84541103,77.66250339,5,853.138,,0.900,275,39,49,,
T,2022-03-22 12:35:07,12.84540960,77.66249086,4,852.678,,1.660,266,38,49,,
T,2022-03-22 12:35:08,12.84540646,77.66247670,4,853.066,,0.770,266,38,49,,
T,2022-03-22 12:35:09,12.84540330,77.66246676,4,852.521,,0.900,266,38,49,,
T,2022-03-22 12:35:10,12.84539847,77.66245366,4,853.564,,1.170,266,39,49,,
T,2022-03-22 12:35:11,12.84539440,77.66244079,4,853.986,,1.200,266,40,49,,
T,2022-03-22 12:35:12,12.84539095,77.66242825,4,854.819,,1.220,266,40,49,,
T,2022-03-22 12:35:13,12.84538917,77.66241871,4,854.825,,0.780,266,40,49,,
T,2022-03-22 12:35:14,12.84538818,77.66240912,4,854.454,,1.110,275,40,49,,
T,2022-03-22 12:35:15,12.84538849,77.66239831,4,854.524,,1.040,266,40,49,,
T,2022-03-22 12:35:16,12.84538925,77.66238733,4,855.040,,1.140,277,40,49,,
T,2022-03-22 12:35:17,12.84538972,77.66237664,4,854.558,,0.970,278,38,49,,
T,2022-03-22 12:35:18,12.84539112,77.66236600,4,854.686,,1.140,278,38,49,,
T,2022-03-22 12:35:19,12.84539193,77.66235486,4,854.757,,1.020,283,38,49,,
T,2022-03-22 12:35:20,12.84539250,77.66234406,4,855.517,,1.140,285,38,49,,
T,2022-03-22 12:35:21,12.84539226,77.66233600,4,856.228,,0.460,283,38,49,,
T,2022-03-22 12:35:22,12.84539307,77.66232986,4,856.773,,0.530,283,38,49,,
T,2022-03-22 12:35:23,12.84539437,77.66232432,4,856.758,,0.310,283,39,49,,
T,2022-03-22 12:35:24,12.84539514,77.66231824,4,856.940,,0.510,283,38,49,,
T,2022-03-22 12:35:25,12.84539589,77.66230708,4,855.836,,1.300,284,38,49,,
T,2022-03-22 12:35:26,12.84539627,77.66229151,4,855.511,,1.610,279,38,49,,
T,2022-03-22 12:35:27,12.84539493,77.66228030,4,855.880,,0.730,279,38,49,,
T,2022-03-22 12:35:28,12.84539410,77.66227111,4,855.434,,1.170,288,38,49,,
T,2022-03-22 12:35:29,12.84539287,77.66226024,4,855.742,,0.800,288,37,49,,
T,2022-03-22 12:35:30,12.84539220,77.66224762,4,853.681,,0.970,288,39,49,,
T,2022-03-22 12:35:31,12.84539125,77.66223139,4,854.156,,1.530,277,39,49,,
T,2022-03-22 12:35:32,12.84538391,77.66221899,4,853.958,,0.000,,39,49,,
T,2022-03-22 12:35:33,12.84538110,77.66220881,4,855.532,,0.740,278,37,49,,
T,2022-03-22 12:35:34,12.84537933,77.66219654,4,854.459,,0.940,278,39,49,,
T,2022-03-22 12:35:35,12.84537447,77.66218773,4,855.073,,0.000,,38,49,,
T,2022-03-22 12:35:36,12.84537231,77.66218265,4,855.862,,0.000,,37,49,,
T,2022-03-22 12:35:37,12.84537080,77.66217700,4,856.308,,0.000,,37,49,,
T,2022-03-22 12:35:38,12.84536967,77.66217175,4,856.887,,0.000,,37,49,,
T,2022-03-22 12:35:39,12.84536865,77.66216596,4,857.164,,0.000,,39,49,,
T,2022-03-22 12:35:40,12.84536829,77.66216043,4,857.804,,0.000,,39,49,,
T,2022-03-22 12:35:41,12.84536762,77.66215739,4,857.978,,0.000,,40,49,,
T,2022-03-22 12:35:42,12.84536686,77.66215545,4,858.014,,0.000,,40,49,,
T,2022-03-22 12:35:43,12.84536595,77.66215420,4,858.236,,0.000,,40,49,,
T,2022-03-22 12:35:44,12.84536650,77.66213864,4,859.363,,2.460,272,40,49,,
T,2022-03-22 12:35:45,12.84536755,77.66211763,4,859.513,,1.810,276,37,49,,
T,2022-03-22 12:35:46,12.84536761,77.66210586,4,859.540,,0.670,264,34,49,,
T,2022-03-22 12:35:47,12.84536721,77.66209862,4,859.883,,0.560,264,31,48,,
T,2022-03-22 12:35:48,12.84536745,77.66209009,4,860.570,,0.980,264,32,49,,
T,2022-03-22 12:35:49,12.84536739,77.66207842,4,859.189,,1.240,262,33,49,,
T,2022-03-22 12:35:50,12.84536742,77.66206550,4,859.576,,1.130,266,33,49,,
T,2022-03-22 12:35:51,12.84536815,77.66205222,4,859.814,,0.960,263,33,49,,
T,2022-03-22 12:35:52,12.84536994,77.66203892,4,860.750,,0.940,263,37,49,,
T,2022-03-22 12:35:53,12.84537242,77.66202351,4,860.664,,1.470,263,37,49,,
T,2022-03-22 12:35:54,12.84537667,77.66201060,4,862.317,,0.660,263,36,49,,
T,2022-03-22 12:35:55,12.84538098,77.66200229,4,862.752,,0.470,263,35,49,,
T,2022-03-22 12:35:56,12.84538494,77.66199317,4,862.162,,0.730,263,37,49,,
T,2022-03-22 12:35:57,12.84539110,77.66198464,4,862.254,,0.000,,37,49,,
T,2022-03-22 12:35:58,12.84539537,77.66197772,4,863.485,,0.300,263,33,49,,
T,2022-03-22 12:35:59,12.84539801,77.66196704,4,864.394,,0.490,263,38,49,,
T,2022-03-22 12:36:00,12.84540100,77.66195754,4,865.000,,0.670,263,38,49,,
T,2022-03-22 12:36:01,12.84540400,77.66194167,4,865.877,,1.730,276,38,49,,
T,2022-03-22 12:36:02,12.84540435,77.66192426,4,865.180,,0.890,263,38,49,,
T,2022-03-22 12:36:03,12.84540356,77.66191080,4,864.430,,0.820,263,38,49,,
T,2022-03-22 12:36:04,12.84540330,77.66189555,4,864.291,,0.690,263,38,49,,
T,2022-03-22 12:36:05,12.84540416,77.66187606,4,863.618,,0.000,,37,49,,
T,2022-03-22 12:36:06,12.84540461,77.66186663,4,863.523,,0.000,,37,49,,
T,2022-03-22 12:36:07,12.84540683,77.66185942,4,864.519,,0.000,,37,49,,
T,2022-03-22 12:36:08,12.84540468,77.66184765,4,862.537,,0.890,261,38,49,,
T,2022-03-22 12:36:09,12.84540326,77.66183543,4,862.239,,0.830,259,38,49,,
T,2022-03-22 12:36:10,12.84540288,77.66182436,4,863.667,,0.000,,37,49,,
T,2022-03-22 12:36:11,12.84540218,77.66181395,4,863.207,,0.680,254,36,49,,
T,2022-03-22 12:36:12,12.84540212,77.66180569,4,862.617,,0.500,263,36,49,,
T,2022-03-22 12:36:13,12.84540142,77.66179287,4,861.608,,1.230,266,36,49,,
T,2022-03-22 12:36:14,12.84540124,77.66177816,4,860.745,,0.710,263,36,49,,
T,2022-03-22 12:36:15,12.84540044,77.66176511,4,861.489,,0.680,262,36,49,,
T,2022-03-22 12:36:16,12.84540003,77.66175380,4,861.050,,0.440,263,37,49,,
T,2022-03-22 12:36:17,12.84539974,77.66174404,4,860.822,,0.420,263,39,48,,
T,2022-03-22 12:36:18,12.84540161,77.66173478,4,860.640,,0.500,263,39,49,,
T,2022-03-22 12:36:19,12.84540343,77.66172677,4,860.663,,0.350,263,39,49,,
T,2022-03-22 12:36:20,12.84540379,77.66171834,5,860.976,,0.550,272,39,49,,
T,2022-03-22 12:36:21,12.84540242,77.66170732,5,861.132,,0.820,246,39,49,,
T,2022-03-22 12:36:22,12.84540075,77.66169773,4,858.925,,0.150,263,39,49,,
T,2022-03-22 12:36:23,12.84540037,77.66168819,5,859.299,,0.560,266,38,49,,
T,2022-03-22 12:36:24,12.84540056,77.66167777,5,859.478,,0.480,260,38,49,,
T,2022-03-22 12:36:25,12.84540152,77.66166589,5,859.347,,0.630,262,38,49,,
T,2022-03-22 12:36:26,12.84540342,77.66165624,5,860.830,,0.000,,37,49,,
T,2022-03-22 12:36:27,12.84540629,77.66164712,5,861.692,,0.380,263,37,49,,
T,2022-03-22 12:36:28,12.84540852,77.66163386,5,862.719,,0.830,272,37,49,,
T,2022-03-22 12:36:29,12.84540880,77.66161959,5,862.731,,0.950,259,38,49,,
T,2022-03-22 12:36:30,12.84540856,77.66161019,5,862.893,,0.260,263,38,49,,
T,2022-03-22 12:36:31,12.84540828,77.66159749,5,862.755,,1.640,266,38,49,,
T,2022-03-22 12:36:32,12.84540801,77.66158390,5,862.367,,0.890,274,38,49,,
T,2022-03-22 12:36:33,12.84540802,77.66157228,5,862.418,,1.250,270,38,49,,
T,2022-03-22 12:36:34,12.84540847,77.66156519,5,863.077,,0.350,263,38,49,,
T,2022-03-22 12:36:35,12.84540956,77.66155661,5,862.365,,0.980,280,32,49,,
T,2022-03-22 12:36:36,12.84541027,77.66154477,5,862.605,,1.100,278,33,49,,
T,2022-03-22 12:36:37,12.84540994,77.66153616,5,862.530,,0.560,278,32,49,,
T,2022-03-22 12:36:38,12.84540880,77.66152573,5,862.421,,1.300,278,32,49,,
T,2022-03-22 12:36:39,12.84540859,77.66151647,5,862.552,,0.530,278,32,49,,
T,2022-03-22 12:36:40,12.84540939,77.66150447,5,861.823,,0.800,278,32,49,,
T,2022-03-22 12:36:41,12.84541045,77.66149267,5,862.464,,0.800,278,36,49,,
T,2022-03-22 12:36:42,12.84541109,77.66148292,5,862.562,,0.640,278,36,49,,
T,2022-03-22 12:36:43,12.84541155,77.66147438,5,862.371,,0.560,278,36,49,,
T,2022-03-22 12:36:44,12.84541253,77.66146460,5,862.363,,0.840,278,36,49,,
T,2022-03-22 12:36:45,12.84541288,77.66145182,5,862.637,,1.270,263,36,49,,
T,2022-03-22 12:36:46,12.84541224,77.66143791,5,862.663,,1.350,263,36,49,,
T,2022-03-22 12:36:47,12.84541080,77.66142662,5,862.194,,0.970,268,32,49,,
T,2022-03-22 12:36:48,12.84540916,77.66141675,6,862.276,,1.060,268,32,49,,
T,2022-03-22 12:36:49,12.84540714,77.66140627,6,862.476,,1.080,268,32,49,,
T,2022-03-22 12:36:50,12.84540514,77.66139858,6,863.645,,0.590,268,31,49,,
T,2022-03-22 12:36:51,12.84540366,77.66139215,6,864.910,,0.460,268,32,49,,
T,2022-03-22 12:36:52,12.84540162,77.66138475,5,865.696,,0.000,,35,49,,
T,2022-03-22 12:36:53,12.84540287,77.66137610,5,865.744,,0.890,268,37,49,,
T,2022-03-22 12:36:54,12.84540566,77.66136481,6,865.190,,0.900,280,37,49,,
T,2022-03-22 12:36:55,12.84540745,77.66135334,5,864.908,,0.580,280,37,49,,
T,2022-03-22 12:36:56,12.84540834,77.66134254,5,865.695,,0.710,280,38,49,,
T,2022-03-22 12:36:57,12.84540825,77.66132934,5,865.890,,0.820,280,38,49,,
T,2022-03-22 12:36:58,12.84540813,77.66131588,5,866.841,,0.670,280,38,49,,
T,2022-03-22 12:36:59,12.84540838,77.66130476,5,867.592,,0.520,280,38,49,,
T,2022-03-22 12:37:00,12.84540918,77.66129440,5,867.899,,0.640,280,39,49,,
T,2022-03-22 12:37:01,12.84541057,77.66128228,6,868.961,,1.070,280,39,49,,
T,2022-03-22 12:37:02,12.84541193,77.66126910,6,869.261,,1.010,284,39,49,,
T,2022-03-22 12:37:03,12.84541133,77.66125515,6,868.924,,1.010,283,37,49,,
T,2022-03-22 12:37:04,12.84540999,77.66124429,6,869.342,,0.630,283,37,49,,
T,2022-03-22 12:37:05,12.84540476,77.66123239,5,869.245,,0.750,282,34,49,,
T,2022-03-22 12:37:06,12.84539834,77.66121996,5,869.346,,0.630,282,35,49,,
T,2022-03-22 12:37:07,12.84539014,77.66120585,5,869.430,,0.700,281,37,49,,
T,2022-03-22 12:37:08,12.84538218,77.66119367,5,869.597,,0.560,281,39,49,,
T,2022-03-22 12:37:09,12.84537467,77.66118550,5,868.893,,0.440,281,40,49,,
T,2022-03-22 12:37:10,12.84536833,77.66117838,5,868.863,,0.490,281,40,49,,
T,2022-03-22 12:37:11,12.84536048,77.66116788,4,868.917,,0.920,281,40,49,,
T,2022-03-22 12:37:12,12.84535219,77.66115581,4,867.551,,0.830,281,40,49,,
T,2022-03-22 12:37:13,12.84534424,77.66114244,4,866.554,,0.960,281,40,49,,
T,2022-03-22 12:37:14,12.84533726,77.66112859,4,866.373,,0.960,281,39,49,,
T,2022-03-22 12:37:15,12.84533036,77.66111438,4,865.532,,1.080,259,39,49,,
T,2022-03-22 12:37:16,12.84532419,77.66109753,4,865.522,,1.700,260,38,49,,
T,2022-03-22 12:37:17,12.84531670,77.66108809,4,865.506,,0.000,,36,49,,
T,2022-03-22 12:37:18,12.84531297,77.66108283,4,864.939,,0.650,260,35,49,,
T,2022-03-22 12:37:19,12.84530926,77.66107606,4,863.676,,0.640,260,35,49,,
T,2022-03-22 12:37:20,12.84530637,77.66107310,4,864.213,,0.000,,33,49,,
T,2022-03-22 12:37:21,12.84530458,77.66106484,4,864.754,,0.850,260,29,49,,
T,2022-03-22 12:37:22,12.84530182,77.66105532,4,864.828,,0.630,260,33,49,,
T,2022-03-22 12:37:23,12.84529867,77.66104714,4,864.082,,0.770,234,34,49,,
T,2022-03-22 12:37:24,12.84529480,77.66103660,4,863.797,,0.880,234,34,49,,
T,2022-03-22 12:37:25,12.84529014,77.66102538,4,863.875,,0.830,234,36,49,,
T,2022-03-22 12:37:26,12.84528629,77.66101558,4,862.908,,0.730,250,36,49,,
T,2022-03-22 12:37:27,12.84528252,77.66100506,4,862.646,,0.740,251,36,49,,
T,2022-03-22 12:37:28,12.84527918,77.66099531,4,862.716,,0.680,251,35,49,,
T,2022-03-22 12:37:29,12.84527610,77.66098768,4,861.636,,0.420,251,34,49,,
T,2022-03-22 12:37:30,12.84527261,77.66097991,4,861.026,,0.700,251,34,49,,
T,2022-03-22 12:37:31,12.84526813,77.66097231,4,860.667,,0.580,250,34,49,,
T,2022-03-22 12:37:32,12.84526345,77.66096129,4,860.349,,1.380,250,33,49,,
T,2022-03-22 12:37:33,12.84525832,77.66094982,4,859.438,,0.870,250,33,49,,
T,2022-03-22 12:37:34,12.84525410,77.66094094,4,859.103,,0.760,250,31,49,,
T,2022-03-22 12:37:35,12.84524799,77.66093589,4,858.575,,0.000,,29,49,,
T,2022-03-22 12:37:36,12.84524321,77.66092316,4,858.742,,1.940,258,29,49,,
T,2022-03-22 12:37:37,12.84523974,77.66090741,4,858.617,,1.170,259,29,49,,
T,2022-03-22 12:37:38,12.84523764,77.66089543,4,858.580,,1.220,259,29,49,,
T,2022-03-22 12:37:39,12.84523492,77.66088335,4,858.755,,1.300,254,29,49,,
T,2022-03-22 12:37:40,12.84523262,77.66087352,4,858.313,,0.860,259,29,49,,
T,2022-03-22 12:37:41,12.84522994,77.66086291,4,857.942,,1.300,259,28,49,,
T,2022-03-22 12:37:42,12.84522690,77.66085071,4,857.918,,1.180,259,29,49,,
T,2022-03-22 12:37:43,12.84522433,77.66083792,4,858.205,,1.330,254,30,49,,
T,2022-03-22 12:37:44,12.84522187,77.66082547,4,857.523,,0.880,257,30,49,,
T,2022-03-22 12:37:45,12.84522002,77.66081131,4,857.781,,1.440,259,30,48,,
T,2022-03-22 12:37:46,12.84521761,77.66079638,4,857.973,,1.140,256,31,49,,
T,2022-03-22 12:37:47,12.84521690,77.66078260,4,858.657,,0.950,257,31,49,,
T,2022-03-22 12:37:48,12.84521792,77.66077379,4,858.572,,0.400,257,32,49,,
T,2022-03-22 12:37:49,12.84522364,77.66076858,4,857.984,,0.000,,33,49,,
T,2022-03-22 12:37:50,12.84522423,77.66076367,4,857.619,,0.440,257,33,49,,
T,2022-03-22 12:37:51,12.84522373,77.66075599,4,858.656,,0.430,257,33,49,,
T,2022-03-22 12:37:52,12.84522151,77.66074782,4,859.321,,0.550,257,34,49,,
T,2022-03-22 12:37:53,12.84521734,77.66073576,4,858.979,,1.230,248,35,49,,
T,2022-03-22 12:37:54,12.84521282,77.66072491,4,859.001,,0.730,248,34,49,,
T,2022-03-22 12:37:55,12.84520931,77.66071686,4,858.780,,0.730,245,33,49,,
T,2022-03-22 12:37:56,12.84520687,77.66071223,4,858.668,,0.000,,33,48,,
T,2022-03-22 12:37:57,12.84520458,77.66070608,4,857.948,,0.750,244,34,48,,
T,2022-03-22 12:37:58,12.84520102,77.66069472,4,857.615,,0.940,244,33,48,,
T,2022-03-22 12:37:59,12.84519786,77.66068365,4,857.883,,0.810,244,32,48,,
T,2022-03-22 12:38:00,12.84519576,77.66067233,4,857.689,,0.920,267,32,48,,
T,2022-03-22 12:38:01,12.84519268,77.66065984,4,857.148,,1.050,258,32,48,,
T,2022-03-22 12:38:02,12.84519039,77.66064970,4,857.039,,0.540,267,32,48,,
T,2022-03-22 12:38:03,12.84518775,77.66064131,4,857.705,,0.710,267,32,48,,
T,2022-03-22 12:38:04,12.84518347,77.66062923,4,857.207,,1.380,251,33,48,,
T,2022-03-22 12:38:05,12.84517846,77.66061692,4,856.786,,0.930,267,34,48,,
