type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2022-03-22 12:33:05,12.84538066,77.66373054,4,851.605,,0.000,,39,49,20220322-180305,GPS Logger: 20220322-180305 - rawData1
T,2022-03-22 12:33:06,12.84537999,77.66372782,4,851.338,,0.300,263,39,49,,
T,2022-03-22 12:33:07,12.84537901,77.66372049,4,851.563,,0.940,263,39,49,,
T,2022-03-22 12:33:08,12.84537880,77.66371022,4,851.737,,1.050,275,39,49,,
T,2022-03-22 12:33:09,12.84537892,77.66370163,4,851.155,,0.700,275,39,49,,
T,2022-03-22 12:33:10,12.84537878,77.66369377,4,850.733,,0.930,275,39,49,,
T,2022-03-22 12:33:11,12.84537799,77.66368385,4,851.156,,1.090,271,40,49,,
T,2022-03-22 12:33:12,12.84537651,77.66367404,4,850.613,,0.950,274,39,49,,
T,2022-03-22 12:33:13,12.84537543,77.66366524,4,850.561,,0.950,273,39,49,,
T,2022-03-22 12:33:14,12.84537427,77.66365475,4,850.070,,1.290,273,39,49,,
T,2022-03-22 12:33:15,12.84537315,77.66364374,4,850.201,,0.910,273,40,49,,
T,2022-03-22 12:33:16,12.84537224,77.66363564,4,850.241,,0.700,273,39,49,,
T,2022-03-22 12:33:17,12.84536827,77.66363171,4,850.168,,0.000,,39,49,,
T,2022-03-22 12:33:18,12.84536812,77.66362436,4,850.149,,0.850,273,39,49,,
T,2022-03-22 12:33:19,12.84536888,77.66361407,4,850.005,,0.930,273,40,49,,
T,2022-03-22 12:33:20,12.84536952,77.66360382,4,849.888,,0.920,273,40,49,,
T,2022-03-22 12:33:21,12.84536992,77.66359217,4,849.871,,1.140,276,40,49,,
T,2022-03-22 12:33:22,12.84537024,77.66358067,4,850.007,,0.940,276,38,49,,
T,2022-03-22 12:33:23,12.84537113,77.66357179,4,849.656,,0.700,276,37,49,,
T,2022-03-22 12:33:24,12.84537172,77.66356056,4,849.781,,1.310,271,37,49,,
T,2022-03-22 12:33:25,12.84537233,77.66354863,4,849.843,,0.960,270,37,49,,
T,2022-03-22 12:33:26,12.84537150,77.66353637,4,849.670,,1.420,271,37,49,,
T,2022-03-22 12:33:27,12.84536981,77.66352385,4,850.032,,0.820,270,37,49,,
T,2022-03-22 12:33:28,12.84536907,77.66351391,4,849.642,,0.930,282,38,49,,
T,2022-03-22 12:33:29,12.84536968,77.66350469,4,849.489,,0.840,282,38,49,,
T,2022-03-22 12:33:30,12.84537055,77.66349667,4,849.308,,0.760,282,37,49,,
T,2022-03-22 12:33:31,12.84537139,77.66348593,4,849.649,,1.370,272,37,49,,
T,2022-03-22 12:33:32,12.84537220,77.66347629,4,849.685,,0.720,272,37,49,,
T,2022-03-22 12:33:33,12.84537349,77.66346836,4,849.865,,0.870,273,37,49,,
T,2022-03-22 12:33:34,12.84537373,77.66345897,4,849.999,,1.090,267,38,49,,
T,2022-03-22 12:33:35,12.84537316,77.66344789,4,849.972,,1.120,269,38,49,,
T,2022-03-22 12:33:36,12.84537322,77.66343664,4,850.323,,1.190,273,38,49,,
T,2022-03-22 12:33:37,12.84537396,77.66342414,4,850.698,,1.270,275,38,49,,
T,2022-03-22 12:33:38,12.84537443,77.66341349,4,850.893,,0.870,275,38,49,,
T,2022-03-22 12:33:39,12.84537535,77.66340299,4,850.807,,1.250,280,38,49,,
T,2022-03-22 12:33:40,12.84537533,77.66339279,4,851.022,,0.900,279,38,49,,
T,2022-03-22 12:33:41,12.84537485,77.66338168,4,850.991,,1.330,269,38,49,,
T,2022-03-22 12:33:42,12.84537491,77.66337015,4,850.973,,1.080,269,38,49,,
T,2022-03-22 12:33:43,12.84537466,77.66336016,4,851.048,,0.930,265,38,49,,
T,2022-03-22 12:33:44,12.84537420,77.66334928,4,850.841,,0.870,265,38,49,,
T,2022-03-22 12:33:45,12.84537395,77.66333879,4,850.412,,0.900,265,40,49,,
T,2022-03-22 12:33:46,12.84537380,77.66332868,4,850.452,,0.680,265,40,49,,
T,2022-03-22 12:33:47,12.84537358,77.66331920,4,851.094,,0.840,265,40,49,,
T,2022-03-22 12:33:48,12.84537285,77.66330678,4,851.206,,1.320,269,40,49,,
T,2022-03-22 12:33:49,12.84537169,77.66329228,4,851.528,,1.260,269,40,49,,
T,2022-03-22 12:33:50,12.84537221,77.66328015,4,851.179,,0.940,269,40,49,,
T,2022-03-22 12:33:51,12.84537314,77.66326963,4,851.271,,0.910,269,38,49,,
T,2022-03-22 12:33:52,12.84537495,77.66325925,4,851.270,,0.850,269,38,49,,
T,2022-03-22 12:33:53,12.84537667,77.66324869,4,850.948,,0.870,269,39,49,,
T,2022-03-22 12:33:54,12.84537778,77.66323673,4,851.470,,0.950,271,39,49,,
T,2022-03-22 12:33:55,12.84537921,77.66322361,4,851.347,,1.210,275,39,49,,
T,2022-03-22 12:33:56,12.84538009,77.66321098,4,851.045,,0.940,271,39,49,,
T,2022-03-22 12:33:57,12.84538148,77.66320190,4,850.725,,0.670,271,39,49,,
T,2022-03-22 12:33:58,12.84538271,77.66319304,4,850.981,,0.870,275,38,49,,
T,2022-03-22 12:33:59,12.84538327,77.66318184,4,851.292,,1.170,275,37,49,,
T,2022-03-22 12:34:00,12.84538311,77.66316964,4,850.882,,1.070,275,37,49,,
T,2022-03-22 12:34:01,12.84538236,77.66315831,4,851.019,,0.970,272,37,49,,
T,2022-03-22 12:34:02,12.84538211,77.66314727,4,850.972,,1.070,272,37,49,,
T,2022-03-22 12:34:03,12.84538186,77.66313544,4,851.038,,1.080,272,37,49,,
T,2022-03-22 12:34:04,12.84538291,77.66312440,4,850.974,,0.900,272,37,49,,
T,2022-03-22 12:34:05,12.84538377,77.66311168,4,850.702,,1.310,272,37,49,,
T,2022-03-22 12:34:06,12.84538507,77.66310029,4,850.548,,0.850,282,37,49,,
T,2022-03-22 12:34:07,12.84538610,77.66309013,4,850.228,,1.090,271,38,49,,
T,2022-03-22 12:34:08,12.84538750,77.66307801,4,849.844,,1.260,273,38,49,,
T,2022-03-22 12:34:09,12.84538890,77.66306556,4,850.364,,1.220,270,38,49,,
T,2022-03-22 12:34:10,12.84538916,77.66305418,4,850.066,,1.040,269,38,49,,
T,2022-03-22 12:34:11,12.84538978,77.66304429,4,850.043,,0.900,269,38,49,,
T,2022-03-22 12:34:12,12.84539114,77.66303632,4,849.966,,0.790,269,38,48,,
T,2022-03-22 12:34:13,12.84539251,77.66302758,4,849.624,,0.950,274,37,49,,
T,2022-03-22 12:34:14,12.84539375,77.66301764,4,849.637,,1.110,274,38,49,,
T,2022-03-22 12:34:15,12.84539406,77.66300739,4,850.430,,1.030,274,37,49,,
T,2022-03-22 12:34:16,12.84539404,77.66300422,4,850.395,,0.000,,38,49,,
T,2022-03-22 12:34:17,12.84539440,77.66299489,4,851.059,,1.490,268,38,49,,
T,2022-03-22 12:34:18,12.84539489,77.66298338,4,850.942,,0.840,268,38,49,,
T,2022-03-22 12:34:19,12.84539606,77.66297281,4,851.219,,1.190,268,38,49,,
T,2022-03-22 12:34:20,12.84539736,77.66295985,4,850.559,,0.940,268,37,49,,
T,2022-03-22 12:34:21,12.84539825,77.66294897,4,850.242,,0.910,282,38,49,,
T,2022-03-22 12:34:22,12.84539935,77.66293780,4,849.872,,0.800,282,38,49,,
T,2022-03-22 12:34:23,12.84540059,77.66292465,4,849.338,,0.940,282,38,49,,
T,2022-03-22 12:34:24,12.84540138,77.66290964,4,848.987,,1.280,282,38,49,,
T,2022-03-22 12:34:25,12.84540191,77.66289341,4,849.573,,1.340,276,38,49,,
T,2022-03-22 12:34:26,12.84540245,77.66287960,4,848.834,,0.960,275,38,49,,
T,2022-03-22 12:34:27,12.84540255,77.66286877,4,848.201,,0.690,275,37,49,,
T,2022-03-22 12:34:28,12.84540194,77.66285847,4,847.501,,0.870,275,36,49,,
